time,temperature
2016-09-23,16.4125
2016-09-24,16.925
2016-09-25,17.4375
2016-09-26,17.95
2016-09-27,15.7
2016-09-28,17.21428571
2016-09-29,16.16666667
2016-09-30,14.31666667
2016-10-01,13.5153846184615
2016-10-02,12.7141025669231
2016-10-03,11.9128205153846
2016-10-04,11.1115384638462
2016-10-05,10.3102564123077
2016-10-06,9.50897436076923
2016-10-07,8.70769230923077
2016-10-08,7.90641025769231
2016-10-09,7.10512820615385
2016-10-10,6.30384615461538
2016-10-11,5.50256410307692
2016-10-12,4.70128205153846
2016-10-13,3.9
2016-10-14,0.8
2016-10-15,4.35
2016-10-16,6.45
2016-10-17,6.083333333
2016-10-18,6.2
2016-10-19,7.733333333
2016-10-20,5.566666667
2016-10-21,4.233333333
2016-10-22,3.15
2016-10-23,3.216666667
2016-10-24,4.84
2016-10-25,6.116666667
2016-10-26,5.44
2016-10-27,8.216666667
2016-10-28,7.48055555583333
2016-10-29,6.74444444466667
2016-10-30,6.0083333335
2016-10-31,5.27222222233333
2016-11-01,4.53611111116667
2016-11-02,3.8
2016-11-03,-0.6333333333
2016-11-04,-0.4333333333
2016-11-05,0.2666666667
2016-11-06,-2.116666667
2016-11-07,-5.016666667
2016-11-08,-3.533333333
2016-11-09,-2.75
2016-11-10,-2.616666667
2016-11-11,-5.95
2016-11-12,-3.666666667
2016-11-13,3.5
2016-11-14,3.566666667
2016-11-15,3.666666667
2016-11-16,3.35
2016-11-17,1.766666667
2016-11-18,4.383333333
2016-11-19,0.6166666667
2016-11-20,1.25
2016-11-21,1.566666667
2016-11-22,2.333333333
2016-11-23,6.3
2016-11-24,4.32
2016-11-25,5.266666667
2016-11-26,7.116666667
2016-11-27,3.516666667
2016-11-28,-0.8666666667
2016-11-29,-0.55
2016-11-30,2.6
2016-12-01,-0.2333333333
2016-12-02,3.483333333
2016-12-03,-0.05
2016-12-04,-1.016666667
2016-12-05,-0.39166666685
2016-12-06,0.2333333333
2016-12-07,3.15
2016-12-08,10.73333333
2016-12-09,5.683333333
2016-12-10,2.283333333
2016-12-11,0.6333333333
2016-12-12,-0.4666666667
2016-12-13,-0.8333333333
2016-12-14,-4.2
2016-12-15,-4.333333333
2016-12-16,-1.383333333
2016-12-17,-1.033333333
2016-12-18,-1.883333333
2016-12-19,0.1833333333
2016-12-20,2.4
2016-12-21,2.283333333
2016-12-22,1.866666667
2016-12-23,1.52
2016-12-24,1.516666667
2016-12-25,1.98
2016-12-26,2.085714286
2016-12-27,1.316666667
2016-12-28,-1.233333333
2016-12-29,-0.8666666667
2016-12-30,4.533333333
2016-12-31,7.883333333
2017-01-01,3.116666667
2017-01-02,-2.02
2017-01-03,-3.2
2017-01-04,-2.514285714
2017-01-05,-10
2017-01-06,-2.716666667
2017-01-07,-0.6166666667
2017-01-08,-3.15
2017-01-09,-1.05
2017-01-10,2.1
2017-01-11,1.4
2017-01-12,1.266666667
2017-01-13,-2.433333333
2017-01-14,0.08333333333
2017-01-15,-4.366666667
2017-01-16,-5.633333333
2017-01-17,-2.05
2017-01-18,-0.8666666667
2017-01-19,2.9
2017-01-20,5.333333333
2017-01-21,2.52
2017-01-22,0.3333333333
2017-01-23,-2.416666667
2017-01-24,-2.633333333
2017-01-25,-1.266666667
2017-01-26,-0.15
2017-01-27,-0.3666666667
2017-01-28,-0.18
2017-01-29,-0.7166666667
2017-01-30,1.85
2017-01-31,0.1166666667
2017-02-01,-0.03333333333
2017-02-02,-0.1333333333
2017-02-03,0.15
2017-02-04,-1.1
2017-02-05,-0.2166666667
2017-02-06,-0.95
2017-02-07,-5.833333333
2017-02-08,-6.116666667
2017-02-09,-5.4
2017-02-10,-4.15
2017-02-11,-1.75
2017-02-12,-3.683333333
2017-02-13,-1.866666667
2017-02-14,-0.7666666667
2017-02-15,-2.08
2017-02-16,-1.9
2017-02-17,0.2
2017-02-18,0.03333333333
2017-02-19,6
2017-02-20,4.25
2017-02-21,2.383333333
2017-02-22,4.066666667
2017-02-23,0.4666666667
2017-02-24,1.2
